	Measurement	Nutrient	rho	p	q
93	C4_day	nutr_NDF org.	0.4108033574549271	0.07197618204596773	0.11055541562260644
94	C4_day	nutr_ADF org.	-0.3372266367167312	0.145943673814388	0.19459156508585065
95	C4_day	nutr_OM	0.39854057066522786	0.08176831649745218	0.12361824226386471
96	C5I_day	nutr_XA	-0.4414603244291754	0.05134374844328476	0.08354237034839554
97	C5I_day	nutr_XL	0.5579567989313189	0.010574540038130409	0.02010209591406969
98	C5I_day	nutr_XP	0.5579567989313189	0.010574540038130409	0.02010209591406969
99	C5I_day	nutr_NDF org.	0.5579567989313189	0.010574540038130409	0.02010209591406969
100	C5I_day	nutr_ADF org.	-0.5579567989313189	0.010574540038130409	0.02010209591406969
101	C5I_day	nutr_OM	0.4414603244291754	0.05134374844328476	0.08354237034839554
102	C5_day	nutr_XA	0.07053754690198395	0.7676045447533016	0.8233523608527035
103	C5_day	nutr_XL	-0.08280494636319856	0.7285406404764694	0.7947716077925121
104	C5_day	nutr_XP	-0.08280494636319856	0.7285406404764694	0.7947716077925121
105	C5_day	nutr_NDF org.	-0.08280494636319856	0.7285406404764694	0.7947716077925121
106	C5_day	nutr_ADF org.	0.0736043967672876	0.7577838118756459	0.8220027789837515
107	C5_day	nutr_OM	-0.07053754690198395	0.7676045447533016	0.8233523608527035
108	VFA_day	nutr_XA	-0.6560590932489134	0.0016827723609281018	0.004487392962474938
109	VFA_day	nutr_XL	0.754161387566508	0.00012247183700262392	0.0004522037058558422
110	VFA_day	nutr_XP	0.754161387566508	0.00012247183700262392	0.0004522037058558422
111	VFA_day	nutr_NDF org.	0.754161387566508	0.00012247183700262392	0.0004522037058558422
112	VFA_day	nutr_ADF org.	-0.6805846668283121	0.0009577168089641154	0.002626880390301574
113	VFA_day	nutr_OM	0.6560590932489134	0.0016827723609281018	0.004487392962474938
114	C2:C3	nutr_XA	-0.5246287413638908	0.017555278667532367	0.03036588742492085
115	C2:C3	nutr_XL	0.8559732095937167	1.4836374721704883e-06	1.4242919732836688e-05
116	C2:C3	nutr_XP	0.8559732095937167	1.4836374721704883e-06	1.4242919732836688e-05
117	C2:C3	nutr_NDF org.	0.8559732095937167	1.4836374721704883e-06	1.4242919732836688e-05
118	C2:C3	nutr_ADF org.	-0.9142652919674823	1.7356341367883435e-08	2.4976864090198324e-06
119	C2:C3	nutr_OM	0.5246287413638908	0.017555278667532367	0.03036588742492085
120	C2_%	nutr_XA	0.024534798922429202	0.9182226137529526	0.9377592651093984
121	C2_%	nutr_XL	0.19321154151412995	0.4144059556983658	0.48221783935809837
122	C2_%	nutr_XP	0.19321154151412995	0.4144059556983658	0.48221783935809837
123	C2_%	nutr_NDF org.	0.19321154151412995	0.4144059556983658	0.48221783935809837
124	C2_%	nutr_ADF org.	-0.27908333774263216	0.2334210794244275	0.29101848863305246
125	C2_%	nutr_OM	-0.024534798922429202	0.9182226137529526	0.9377592651093984
126	C3_%	nutr_XA	0.3249638499270319	0.1621155132886305	0.2089005271907185
127	C3_%	nutr_XL	-0.4721172914034237	0.035570428199861344	0.05887519150321878
128	C3_%	nutr_XP	-0.4721172914034237	0.035570428199861344	0.05887519150321878
129	C3_%	nutr_NDF org.	-0.4721172914034237	0.035570428199861344	0.05887519150321878
130	C3_%	nutr_ADF org.	0.48438007819312306	0.030441778874819844	0.05172408445987089
131	C3_%	nutr_OM	-0.3249638499270319	0.1621155132886305	0.2089005271907185
132	C4I_%	nutr_XA	-0.72316250950358	0.0003147060767044249	0.0009905502742172064
133	C4I_%	nutr_XL	0.8031719786401461	2.0104685686826934e-05	0.00010432701761812895
134	C4I_%	nutr_XP	0.8031719786401461	2.0104685686826934e-05	0.00010432701761812895
135	C4I_%	nutr_NDF org.	0.8031719786401461	2.0104685686826934e-05	0.00010432701761812895
136	C4I_%	nutr_ADF org.	-0.7077760731311633	0.0004809325578581594	0.0013781947926681584
137	C4I_%	nutr_OM	0.72316250950358	0.0003147060767044249	0.0009905502742172064
138	C4_%	nutr_XA	-0.37401499708582914	0.1042609971528511	0.14719199598049568
139	C4_%	nutr_XL	0.3433580301115809	0.1382960679868005	0.18568423114311677
140	C4_%	nutr_XP	0.3433580301115809	0.1382960679868005	0.18568423114311677
141	C4_%	nutr_NDF org.	0.3433580301115809	0.1382960679868005	0.18568423114311677
142	C4_%	nutr_ADF org.	-0.2636499159785353	0.26136305385787056	0.3237529441336203
143	C4_%	nutr_OM	0.37401499708582914	0.1042609971528511	0.14719199598049568
144	C5I_%	nutr_XA	-0.2331683294950626	0.3224952195406855	0.3822165564926643
145	C5I_%	nutr_XL	0.2945284162042896	0.20747192819568666	0.2603569295004695
146	C5I_%	nutr_XP	0.2945284162042896	0.20747192819568666	0.2603569295004695
147	C5I_%	nutr_NDF org.	0.2945284162042896	0.20747192819568666	0.2603569295004695
148	C5I_%	nutr_ADF org.	-0.316004446552519	0.174684622748061	0.2235963171175181
149	C5I_%	nutr_OM	0.2331683294950626	0.3224952195406855	0.3822165564926643
150	C5_5	nutr_XA	0.251387129188836	0.2850079040354796	0.3420094848425755
151	C5_5	nutr_XL	-0.38014639048067883	0.09825959233223816	0.14078986364022186
152	C5_5	nutr_XP	-0.38014639048067883	0.09825959233223816	0.14078986364022186
153	C5_5	nutr_NDF org.	-0.38014639048067883	0.09825959233223816	0.14078986364022186
154	C5_5	nutr_ADF org.	0.3862777838755284	0.09251417286127037	0.13877125929190556
155	C5_5	nutr_OM	-0.251387129188836	0.2850079040354796	0.3420094848425755
156	DM	nutr_XA	-0.6928474536180114	0.000708301131394307	0.0019709248873580718
157	DM	nutr_XL	0.8583950752789522	1.2854890369812577e-06	1.4242919732836688e-05
158	DM	nutr_XP	0.8583950752789522	1.2854890369812577e-06	1.4242919732836688e-05
159	DM	nutr_NDF org.	0.8583950752789522	1.2854890369812577e-06	1.4242919732836688e-05
160	DM	nutr_ADF org.	-0.7909497479356058	3.295440761769643e-05	0.00014380105142267532
161	DM	nutr_OM	0.6928474536180114	0.000708301131394307	0.0019709248873580718
162	CP	nutr_XA	-0.8216067149098542	8.915956190456558e-06	5.522140608282771e-05
163	CP	nutr_XL	0.8706578620686514	5.961257775489994e-07	1.1445614928940789e-05
164	CP	nutr_XP	0.8706578620686514	5.961257775489994e-07	1.1445614928940789e-05
165	CP	nutr_NDF org.	0.8706578620686514	5.961257775489994e-07	1.1445614928940789e-05
166	CP	nutr_ADF org.	-0.7173730271974101	0.0003703195347709177	0.001110958604312753
167	CP	nutr_OM	0.8216067149098542	8.915956190456558e-06	5.522140608282771e-05
168	ADFom	nutr_XA	-0.6008765526952666	0.005081096074380052	0.011753860798565902
169	ADFom	nutr_XL	0.5886137659055671	0.006328311141702885	0.013352041090186308
170	ADFom	nutr_XP	0.5886137659055671	0.006328311141702885	0.013352041090186308
171	ADFom	nutr_NDF org.	0.5886137659055671	0.006328311141702885	0.013352041090186308
172	ADFom	nutr_ADF org.	-0.48438007819312306	0.030441778874819844	0.05172408445987089
173	ADFom	nutr_OM	0.6008765526952666	0.005081096074380052	0.011753860798565902
174	NDFom	nutr_XA	-0.7173730271974101	0.0003703195347709177	0.001110958604312753
