Mothur name	Nr reads_0	Sample No.	Subsample	Date of Sampling	Sample Name	Description	Description 2	Fermenter
B1013	45831	2019-14-1013	Mibi	9/3/2019	Feed residue d13 (24h) Trt2-Run1-HP2	Feed residue at day 13 from 24h bag	Treatment 2 Run 1 Heat pump 2	h
B1014	42458	2019-14-1014	Mibi	9/3/2019	Feed residue d13 (48h) Trt2-Run1-HP2	Feed residue at day 13 from 48h bag	Treatment 2 Run 1 Heat pump 2	h
B1015	34899	2019-14-1015	Mibi	9/3/2019	Feed residue d13 (24h) Trt3-Run1-HP1	Feed residue at day 13 from 24h bag	Treatment 3 Run 1 Heat pump 1	a
B1016	31321	2019-14-1016	Mibi	9/3/2019	Feed residue d13 (48h) Trt3-Run1-HP1	Feed residue at day 13 from 48h bag	Treatment 3 Run 1 Heat pump 1	a
B1017	45483	2019-14-1017	Mibi	9/3/2019	Feed residue d13 (24h) Trt3-Run1-HP2	Feed residue at day 13 from 24h bag	Treatment 3 Run 1 Heat pump 2	g
B1018	31312	2019-14-1018	Mibi	9/3/2019	Feed residue d13 (48h) Trt3-Run1-HP2	Feed residue at day 13 from 48h bag	Treatment 3 Run 1 Heat pump 2	g
B1019	40393	2019-14-1019	Mibi	9/3/2019	Feed residue d13 (24h) Trt4-Run1-HP1	Feed residue at day 13 from 24h bag	Treatment 4 Run 1 Heat pump 1	c
B1020	38838	2019-14-1020	Mibi	9/3/2019	Feed residue d13 (48h) Trt4-Run1-HP1	Feed residue at day 13 from 48h bag	Treatment 4 Run 1 Heat pump 1	c
B1021	70941	2019-14-1021	Mibi	9/3/2019	Feed residue d13 (24h) Trt4-Run1-HP2	Feed residue at day 13 from 24h bag	Treatment 4 Run 1 Heat pump 2	f
B1022	46514	2019-14-1022	Mibi	9/3/2019	Feed residue d13 (48h) Trt4-Run1-HP2	Feed residue at day 13 from 48h bag	Treatment 4 Run 1 Heat pump 2	f
B1023	193	2019-14-1023	Mibi	9/3/2019	Feed residue d13 (24h) Trt5-Run1-HP1	Feed residue at day 13 from 24h bag	Treatment 5 Run 1 Heat pump 1	b
B1024	240	2019-14-1024	Mibi	9/3/2019	Feed residue d13 (48h) Trt5-Run1-HP1	Feed residue at day 13 from 48h bag	Treatment 5 Run 1 Heat pump 1	b
B1025	32140	2019-14-1025	Mibi	9/3/2019	Feed residue d13 (24h) Trt5-Run1-HP2	Feed residue at day 13 from 24h bag	Treatment 5 Run 1 Heat pump 2	i
B1026	41303	2019-14-1026	Mibi	9/3/2019	Feed residue d13 (48h) Trt5-Run1-HP2	Feed residue at day 13 from 48h bag	Treatment 5 Run 1 Heat pump 2	i
B1027	34880	2019-14-1027	Mibi	9/3/2019	SAM d13 Trt1-Run1-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 1 Run 1 Heat pump 1	e
B1028	31329	2019-14-1028	Mibi	9/3/2019	SAM d13 Trt1-Run1-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 1 Run 1 Heat pump 2	j
B1029	41748	2019-14-1029	Mibi	9/3/2019	SAM d13 Trt2-Run1-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 2 Run 1 Heat pump 1	d
B1030	29801	2019-14-1030	Mibi	9/3/2019	SAM d13 Trt2-Run1-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 2 Run 1 Heat pump 2	h
B1031	30289	2019-14-1031	Mibi	9/3/2019	SAM d13 Trt3-Run1-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 3 Run 1 Heat pump 1	a
B1032	31660	2019-14-1032	Mibi	9/3/2019	SAM d13 Trt3-Run1-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 3 Run 1 Heat pump 2	g
B1033	47997	2019-14-1033	Mibi	9/3/2019	SAM d13 Trt4-Run1-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 4 Run 1 Heat pump 1	c
B1034	27394	2019-14-1034	Mibi	9/3/2019	SAM d13 Trt4-Run1-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 4 Run 1 Heat pump 2	f
B1035	20397	2019-14-1035	Mibi	9/3/2019	SAM d13 Trt5-Run1-HP1	Liquid after SAM treatment of both bags at day 13	Treatment 5 Run 1 Heat pump 1	b
B1036	24846	2019-14-1036	Mibi	9/3/2019	SAM d13 Trt5-Run1-HP2	Liquid after SAM treatment of both bags at day 13	Treatment 5 Run 1 Heat pump 2	i
B1037	30093	2019-14-1037	Mibi	8/28/2019	Fermenter liquid d7 Trt1-Run1-HP1	Fermenter liquid at day 7	Treatment 1 Run 1 Heat pump 1	e
