#SampleID	A1007	A1008	A1009	A1010	A1011	A1012	A1013	A1014	A1015	A1016	A1017	A1018	A1019	A1020	A1021	A1022	A1023	A1024	A1025	A1026	A2007	A2008	A2009	A2010	A2011	A2012	A2013	A2014	A2015	A2016	A2017	A2018	A2019	A2020	A2021	A2022	A2023	A2024	A2025	A2026
A2007	0.4444444444444444	0.3888888888888889	0.3636363636363637	0.4594594594594595	0.3	0.4411764705882353	0.4117647058823529	0.42105263157894735	0.3548387096774194	0.42857142857142855	0.3636363636363637	0.3939393939393939	0.3939393939393939	0.4444444444444444	0.38235294117647056	0.4444444444444444	0.4375	0.3888888888888889	0.3333333333333333	0.3636363636363637	0.0	0.17857142857142858	0.3333333333333333	0.2222222222222222	0.1851851851851852	0.125	0.2413793103448276	0.4166666666666667	0.26666666666666666	0.35294117647058826	0.30303030303030304	0.3611111111111111	0.2413793103448276	0.2413793103448276	0.3611111111111111	0.25	0.38461538461538464	0.41025641025641024	0.3333333333333333	0.4523809523809524
A2008	0.40540540540540543	0.35135135135135137	0.3235294117647059	0.42105263157894735	0.25806451612903225	0.4	0.37142857142857133	0.38461538461538464	0.3636363636363637	0.4324324324324325	0.3235294117647059	0.4	0.4	0.4473684210526316	0.3428571428571429	0.4473684210526316	0.4411764705882353	0.3947368421052632	0.29411764705882354	0.3235294117647059	0.17857142857142858	0.0	0.3428571428571429	0.3548387096774194	0.3225806451612903	0.2222222222222222	0.25806451612903225	0.2857142857142857	0.3333333333333333	0.3142857142857143	0.3142857142857143	0.3684210526315789	0.3125	0.25806451612903225	0.3684210526315789	0.3142857142857143	0.35	0.375	0.3939393939393939	0.4186046511627907
A2009	0.34210526315789475	0.2894736842105263	0.35135135135135137	0.3157894736842105	0.29411764705882354	0.3783783783783784	0.35135135135135137	0.325	0.3428571428571429	0.41025641025641024	0.2571428571428571	0.3333333333333333	0.3333333333333333	0.38461538461538464	0.32432432432432434	0.425	0.37142857142857133	0.2894736842105263	0.2777777777777778	0.35135135135135137	0.3333333333333333	0.3428571428571429	0.0	0.28125	0.35294117647058826	0.3225806451612903	0.29411764705882354	0.2222222222222222	0.21212121212121213	0.25	0.2972972972972973	0.21621621621621626	0.29411764705882354	0.29411764705882354	0.35	0.25	0.25	0.275	0.2727272727272727	0.24390243902439024
A2010	0.4	0.3888888888888889	0.3636363636363637	0.37142857142857133	0.3	0.34375	0.3125	0.42105263157894735	0.3	0.3333333333333333	0.3125	0.2333333333333333	0.2903225806451613	0.35294117647058826	0.28125	0.35294117647058826	0.3870967741935484	0.3888888888888889	0.3333333333333333	0.3636363636363637	0.2222222222222222	0.3548387096774194	0.28125	0.0	0.1851851851851852	0.2	0.17857142857142858	0.3235294117647059	0.14285714285714285	0.25	0.25	0.3611111111111111	0.2413793103448276	0.2413793103448276	0.3611111111111111	0.25	0.425	0.41025641025641024	0.21428571428571427	0.4146341463414634
A2011	0.37142857142857133	0.3142857142857143	0.3333333333333333	0.3888888888888889	0.26666666666666666	0.3636363636363637	0.3333333333333333	0.3947368421052632	0.26666666666666666	0.35294117647058826	0.28125	0.25806451612903225	0.3125	0.37142857142857133	0.30303030303030304	0.3235294117647059	0.3548387096774194	0.3611111111111111	0.30303030303030304	0.3333333333333333	0.1851851851851852	0.3225806451612903	0.35294117647058826	0.1851851851851852	0.0	0.2307692307692308	0.26666666666666666	0.3888888888888889	0.2333333333333333	0.2727272727272727	0.21875	0.3783783783783784	0.3225806451612903	0.3225806451612903	0.3333333333333333	0.2727272727272727	0.4390243902439024	0.4634146341463415	0.3	0.4651162790697674
A2012	0.4857142857142857	0.42857142857142855	0.40625	0.4571428571428571	0.3448275862068966	0.4375	0.4545454545454545	0.4594594594594595	0.3448275862068966	0.42424242424242425	0.3548387096774194	0.3870967741935484	0.3870967741935484	0.4411764705882353	0.42424242424242425	0.4411764705882353	0.43333333333333335	0.42857142857142855	0.375	0.40625	0.125	0.2222222222222222	0.3225806451612903	0.2	0.2307692307692308	0.0	0.2857142857142857	0.3636363636363637	0.25	0.34375	0.34375	0.4	0.2857142857142857	0.2857142857142857	0.4444444444444444	0.34375	0.4615384615384616	0.4473684210526316	0.32142857142857145	0.4878048780487805
A2013	0.3142857142857143	0.3055555555555556	0.2727272727272727	0.3333333333333333	0.25806451612903225	0.30303030303030304	0.2727272727272727	0.38461538461538464	0.25806451612903225	0.24242424242424246	0.2727272727272727	0.1935483870967742	0.1935483870967742	0.2647058823529412	0.29411764705882354	0.3142857142857143	0.34375	0.35135135135135137	0.3428571428571429	0.3235294117647059	0.2413793103448276	0.25806451612903225	0.29411764705882354	0.17857142857142858	0.26666666666666666	0.2857142857142857	0.0	0.2857142857142857	0.16666666666666666	0.21212121212121213	0.21212121212121213	0.2777777777777778	0.2	0.25806451612903225	0.32432432432432434	0.21212121212121213	0.35	0.375	0.2333333333333333	0.3809523809523809
A2014	0.375	0.28205128205128205	0.34210526315789475	0.3076923076923077	0.3333333333333333	0.3684210526315789	0.2972972972972973	0.3170731707317073	0.3783783783783784	0.4	0.25	0.32432432432432434	0.3684210526315789	0.4146341463414634	0.3157894736842105	0.4146341463414634	0.4473684210526316	0.36585365853658536	0.3157894736842105	0.34210526315789475	0.4166666666666667	0.2857142857142857	0.2222222222222222	0.3235294117647059	0.3888888888888889	0.3636363636363637	0.2857142857142857	0.0	0.2058823529411765	0.14285714285714285	0.2432432432432433	0.2564102564102564	0.2857142857142857	0.2857142857142857	0.2564102564102564	0.2432432432432433	0.24390243902439024	0.225	0.2647058823529412	0.2380952380952381
A2015	0.3783783783783784	0.32432432432432434	0.3428571428571429	0.35135135135135137	0.28125	0.3235294117647059	0.29411764705882354	0.3157894736842105	0.28125	0.3142857142857143	0.24242424242424246	0.21875	0.2727272727272727	0.3333333333333333	0.3142857142857143	0.3333333333333333	0.3636363636363637	0.32432432432432434	0.3142857142857143	0.3428571428571429	0.26666666666666666	0.3333333333333333	0.21212121212121213	0.14285714285714285	0.2333333333333333	0.25	0.16666666666666666	0.2058823529411765	0.0	0.125	0.125	0.25	0.10344827586206896	0.16666666666666666	0.25	0.125	0.325	0.3076923076923077	0.07142857142857142	0.3170731707317073
A2016	0.35897435897435903	0.3076923076923077	0.3684210526315789	0.3333333333333333	0.3142857142857143	0.3055555555555556	0.2777777777777778	0.3	0.2647058823529412	0.2972972972972973	0.22857142857142854	0.2058823529411765	0.2571428571428571	0.3157894736842105	0.2972972972972973	0.3157894736842105	0.3428571428571429	0.3076923076923077	0.2972972972972973	0.32432432432432434	0.35294117647058826	0.3142857142857143	0.25	0.25	0.2727272727272727	0.34375	0.21212121212121213	0.14285714285714285	0.125	0.0	0.1176470588235294	0.2368421052631579	0.21212121212121213	0.21212121212121213	0.1891891891891892	0.2222222222222222	0.2682926829268293	0.25	0.1875	0.2619047619047619
